feature,importance
Crop_Sugarcane,0.9396816605914028
Crop_Jute,0.031696335408470715
Crop_Potato,0.023081830140057682
Production,0.0025508936650920026
Crop_Maize,0.0007223032710187144
Pesticide,0.00043661189613196507
Area,0.00038418959627879165
Crop_Year,0.00036914979449478814
Fertilizer,0.00032002793785270025
Crop_Wheat,0.0001997206047381841
Annual_Rainfall,0.00018367884511641532
AVERAGE MEAN,0.00012809105076986327
Crop_Ragi,7.479484172128885e-05
Season_Summer     ,7.160426647249557e-05
Season_Winter     ,4.183176968106816e-05
